logged_at,run_id,world,elapsed_seconds,start_population,final_population,start_base_damage,final_base_damage,start_shot_damage,final_shot_damage,start_fire_rate,final_fire_rate,start_volley_multiplier,final_volley_multiplier,start_dps,final_dps,dps_growth,gold_before_reward,enemy_kills,cards
20260907-220919-712543,20260907-215514-562574,7,95.942,12,47476,13.0,13.0,156.0,833203.8,11.44,16.64,1.9,1.9,3390.816,26342571.3408,7768.8,182,210,population_fire+population;gate_damage;shotgun;growth_gate;gate_master+fire_rate
20260907-221117-086314,20260907-215514-562574,8,96.796,20,67229,17.0,17.0,340.0,1142893.0,13.8,25.2,1.9,1.9,8914.8,54721716.84,6138.3,15,314,population_fire+population;gate_damage;shotgun;growth_gate;gate_master+fire_rate
20260907-223616-614477,20260907-223433-812949,1,102.819,1,631,10.0,10.0,10.0,8518.5,8.0,8.0,1.0,1.0,80.0,68148.0,851.85,14,72,
20260907-223812-475792,20260907-223433-812949,2,91.548,6,587567,11.0,11.0,66.0,6463237.0,8.8,11.2,1.3,1.3,755.04,94104730.72,124635.4242,22,78,armor;double_shot;soft_contact+population;ramp_fire+fire_rate;pierce+damage
20260907-224045-392838,20260907-223433-812949,3,97.191,6,7063,11.0,11.0,66.0,132078.1,8.8,11.2,1.0,1.0,580.8,1479274.72,2546.9606,28,95,soft_contact+population;ramp_fire+fire_rate;pierce+damage;dividend;still_shot
20260907-224327-152964,20260907-223433-812949,4,114.012,6,2058,12.0,12.0,72.0,24696.0,9.68,12.32,1.0,1.0,696.96,304254.72,436.5455,29,119,soft_contact+population;ramp_fire+fire_rate;pierce+damage;still_shot;vampire
20260907-224601-105586,20260907-223433-812949,5,109.572,6,4527,12.0,12.0,72.0,54324.0,9.68,10.5943,1.0,1.0,696.96,575525.8397,825.766,21,131,soft_contact+population;ramp_fire+fire_rate;pierce+damage;still_shot;composure
20260907-224758-479453,20260907-223433-812949,6,96.289,8,32032,15.0,15.0,120.0,8072064.0,8.8,13.2,1.0,1.0,1056.0,106551244.8,100900.8,14,139,soft_contact+population;pierce+damage;composure;loss_rage
20260907-225214-625407,20260907-225019-815318,1,111.269,1,453,10.0,10.0,10.0,4530.0,8.0,8.0,1.0,1.0,80.0,36240.0,453.0,7,75,
20260907-225410-511065,20260907-225019-815318,2,98.053,6,2060,11.5,11.5,69.0,31981.5,8.0,12.0,1.0,1.0,552.0,383778.0,695.25,20,82,growth_damage+damage;population_fire;vampire+population
20260907-225611-935962,20260907-225019-815318,3,95.622,6,9753,12.0,12.0,72.0,157998.6,8.8,12.8,1.3,1.3,1256.112,4009372.4736,3191.8909,46,93,growth_damage+damage;population_fire;vampire+population;critical_focus;double_shot+fire_rate
20260907-225840-269969,20260907-225019-815318,4,95.437,1,16977,13.5,13.5,13.5,229189.5,8.0,16.0,1.9,1.9,312.93,10625225.22,33954.0,32,110,growth_damage+damage;population_fire;critical_focus;shotgun;fast_bullet
20260907-230045-458967,20260907-225019-815318,5,94.018,5,29688,16.0,16.0,80.0,641260.8,9.6,14.4,1.9,1.9,2225.28,26755965.6192,12023.64,15,129,growth_damage+damage;population_fire;critical_focus;shotgun;card_deal
20260907-230259-644305,20260907-225019-815318,6,93.485,5,811828,16.5,16.5,82.5,13395162.0,9.6,14.4,1.9,1.9,1504.8,366491632.32,243548.4,16,149,growth_damage+damage;population_fire;shotgun;composure
20260907-230520-555503,20260907-230334-257094,1,106.315,1,897,10.0,10.0,10.0,8970.0,8.0,8.0,1.0,1.0,80.0,71760.0,897.0,14,72,
20260907-230726-653321,20260907-230334-257094,2,98.059,7,2814,10.0,10.0,70.0,28140.0,8.0,14.4,1.0,1.0,560.0,405216.0,723.6,27,78,refresh_deal;growth_population+population;ramp_fire;gate_damage
20260907-230945-874852,20260907-230334-257094,3,96.669,10,11904,11.0,11.0,110.0,130944.0,9.68,9.68,1.5,1.5,1597.2,1901306.88,1190.4,38,94,refresh_deal;growth_population+population;gate_damage;fire_rate;triple_shot
20260907-231151-380308,20260907-230334-257094,4,96.197,11,30548,11.0,11.0,121.0,336028.0,8.8,17.6,1.9,1.9,3085.258,17136083.888,5554.1818,57,112,growth_population+population;gate_damage;shotgun;population_fire;critical_focus
20260907-231348-037114,20260907-230334-257094,5,94.995,3,101088617,11.0,11.0,33.0,4447899148.0,8.8,17.6,1.9,1.9,841.434,226825064951.408,269569645.3333,95,129,shotgun;population_fire;critical_focus;pierce;composure
20260907-231531-671752,20260907-230334-257094,6,90.474,13,784859,14.0,14.0,182.0,43952104.0,8.8,13.2,1.9,1.9,4640.636,1681036121.688,362242.6154,44,150,shotgun;population_fire;critical_focus;pierce;composure
20260907-231835-780343,20260907-230334-257094,7,94.643,13,336588,14.0,14.0,182.0,28273392.0,8.8,17.6,1.3,1.3,3175.172,986515193.664,310696.6154,19,191,population_fire;critical_focus;pierce;composure;double_shot
20260907-232035-583285,20260907-230334-257094,8,93.574,13,677689,14.0,14.0,182.0,66413522.0,8.8,13.2,1.9,1.9,3043.04,1665651131.76,547364.1923,15,320,population_fire;pierce;composure;resonance;shotgun
20260908-015219-170040,20260908-015012-533460,1,101.348,1,1283,10.0,10.0,10.0,12830.0,8.0,12.0,1.0,1.0,80.0,153960.0,1924.5,14,79,
20260908-015416-205440,20260908-015012-533460,2,95.889,3,4307,11.0,11.0,33.0,63958.95,8.8,8.8,1.5,1.5,435.6,844258.14,1938.15,27,83,triple_shot
20260908-015657-531384,20260908-015012-533460,3,112.115,3,1414,11.0,11.0,66.0,15554.0,8.8,8.8,1.5,1.5,958.32,225844.08,235.6667,38,102,triple_shot;refresh_deal;critical_focus;low_population
20260908-015933-459925,20260908-015012-533460,4,101.465,3,5672,11.0,11.0,33.0,62392.0,8.8,9.7944,1.9,1.9,551.76,1161075.1891,2104.312,53,117,refresh_deal;shotgun;gate_damage;population_fire;phase_move
20260908-020601-665256,20260908-020419-513834,1,102.169,1,1448,10.0,10.0,10.0,14480.0,8.0,8.0,1.0,1.0,80.0,115840.0,1448.0,14,74,
20260908-020824-294963,20260908-020419-513834,2,100.441,6,1371,12.0,12.0,72.0,16452.0,8.8,12.8,1.0,1.0,665.28,221114.88,332.3636,21,78,fire_rate;critical_chance;saving;damage+population;still_shot
20260908-021314-513784,20260908-021130-766400,1,103.764,1,622,10.0,10.0,10.0,6220.0,8.0,8.0,1.0,1.0,80.0,49760.0,622.0,14,77,
20260908-021519-924041,20260908-021130-766400,2,100.9,1,2410,11.0,11.0,11.0,26510.0,8.0,12.0,1.5,1.5,132.0,477180.0,3615.0,35,87,phase_move+damage;triple_shot
20260908-021806-390163,20260908-021130-766400,3,98.899,5,5479,12.0,12.0,55.2,83499.96,10.0,12.4,1.5,1.5,828.0,1553099.256,1875.7237,39,97,phase_move+damage;triple_shot;growth_recovery;ramp_fire;overclock
20260908-022013-661969,20260908-021130-766400,4,94.266,7,10401,12.0,12.0,77.28,158511.24,13.0,16.12,1.5,1.5,1506.96,3832801.7832,2543.3998,44,110,phase_move+damage;triple_shot;growth_recovery;ramp_fire;overclock
20260908-022446-629956,20260908-022302-545151,1,104.103,1,655,10.0,10.0,10.0,6550.0,8.0,8.0,1.0,1.0,80.0,52400.0,655.0,14,73,
20260908-022712-384478,20260908-022302-545151,2,102.953,1,2721,10.0,10.0,10.0,27210.0,8.0,13.632,1.5,1.5,120.0,556390.08,4636.584,14,83,triple_shot;population_fire;high_population;still_shot
20260908-022909-386259,20260908-022302-545151,3,95.299,3,13352,11.0,11.0,33.0,146872.0,9.6,13.6032,1.5,1.5,498.96,3146738.4749,6306.5947,15,93,triple_shot;population_fire;high_population;still_shot;critical_chance+damage
20260908-023125-403054,20260908-022302-545151,4,100.069,5,6249,11.0,11.0,58.3,107232.84,9.984,15.9744,1.5,1.5,916.7558,2697943.9399,2942.9253,13,112,triple_shot;population_fire;still_shot;critical_chance+damage;growth_core
20260908-023322-548711,20260908-022302-545151,5,99.247,9,5481,13.0,13.0,131.04,108304.56,10.368,16.2144,1.5,1.5,2139.8308,2765847.1958,1292.5542,17,126,triple_shot;population_fire;still_shot;critical_chance+damage;growth_core
20260908-023720-508374,20260908-023534-174839,1,106.35,1,865,10.0,10.0,10.0,8650.0,8.0,8.0,1.0,1.0,80.0,69200.0,865.0,14,72,
20260908-023910-653005,20260908-023534-174839,2,95.848,6,5939,10.0,10.0,60.0,59390.0,8.0,8.0,1.5,1.5,792.0,783948.0,989.8333,27,81,critical_focus;triple_shot+population;phase_move
20260908-024121-744549,20260908-023534-174839,3,106.334,8,3010,11.0,11.0,88.0,33110.0,8.8,8.8,1.5,1.5,1277.76,480757.2,376.25,41,98,critical_focus;triple_shot+population;phase_move;special_profit;saving
20260908-024352-246328,20260908-023534-174839,4,109.706,13,2077,11.0,11.0,143.0,22847.0,8.8,9.1608,1.5,1.5,2076.36,345339.716,166.3198,64,117,critical_focus;triple_shot+population;phase_move;saving;population_fire+population
20260908-024643-980252,20260908-023534-174839,5,95.034,15,19185,12.0,12.0,180.0,230220.0,9.6,13.2768,1.5,1.5,2851.2,5043365.0784,1768.857,55,113,critical_focus;triple_shot+population;saving;population_fire+population;composure
20260908-025117-246713,20260908-024934-858596,1,102.405,1,777,10.0,10.0,10.0,10489.5,8.0,8.0,1.0,1.0,80.0,83916.0,1048.95,14,72,
20260908-025300-710231,20260908-024934-858596,2,90.854,1,14419,10.0,10.0,10.0,1485157.0,8.0,12.0,1.0,1.0,80.0,17821884.0,222773.55,31,78,still_shot;phase_move;saving
20260908-025513-969150,20260908-024934-858596,3,94.329,8,89216,11.5,11.5,92.0,10978028.8,8.8,10.12,1.0,1.0,809.6,111097651.456,137225.36,51,90,still_shot;phase_move;saving;growth_damage+population;high_population
20260908-025740-373918,20260908-024934-858596,4,95.522,3,799498,11.0,11.0,39.6,137633580.7,8.8,13.2,1.0,1.0,348.48,1816763265.24,5213393.2083,71,102,still_shot;phase_move;composure;rich_damage;pierce
20260908-025924-431761,20260908-024934-858596,5,91.377,3,619026,11.0,11.0,41.25,87158860.8,12.0,12.0,1.0,1.0,495.0,1045906329.6,2112942.08,86,115,still_shot;phase_move;composure;rich_damage
20260908-030111-652043,20260908-024934-858596,6,93.146,3,2281105,11.0,11.0,47.85,334980269.25,12.0,12.0,1.0,1.0,574.2,4019763231.0,7000632.5862,152,146,still_shot;phase_move;composure;rich_damage;recruit_gate_bias
20260908-084852-078567,20260908-084705-818132,1,106.286,1,758,10.0,10.0,10.0,7580.0,8.0,8.0,1.0,1.0,80.0,60640.0,758.0,14,77,
20260908-101040-554168,20260908-084925-277227,1,107.539,1,651,10.0,10.0,10.0,6510.0,8.0,8.0,1.0,1.0,80.0,52080.0,651.0,14,71,
20260908-101244-091198,20260908-084925-277227,2,96.292,1,2662,10.5,10.5,21.0,27951.0,8.0,12.0,1.3,1.3,226.044,451296.846,1996.5,27,83,growth_damage;critical_power;low_population;gate_damage;double_shot
20260908-101517-291501,20260908-084925-277227,3,93.099,11,27414,10.0,10.0,110.0,2905884.0,8.0,12.0,1.0,1.0,1064.8,42193435.68,39625.6909,56,90,critical_power;gate_damage;critical_chance;phase_move+population;still_shot+population
20260908-101730-604568,20260908-084925-277227,4,95.148,13,384191,11.0,11.0,143.0,45641890.8,10.4,15.6,1.9,1.9,2966.964,1420466925.4776,478761.0923,57,108,critical_chance;phase_move+population;still_shot+population;shotgun;decapitate
20260908-101925-017365,20260908-084925-277227,5,92.194,13,201036,11.0,11.0,185.9,24435925.8,10.4,15.6,1.9,1.9,3857.0532,760494882.7476,197169.9231,113,132,critical_chance;phase_move+population;still_shot+population;shotgun;rich_damage
20260908-102215-536680,20260908-084925-277227,6,90.319,19,372831,11.0,11.0,323.95,45727722.15,10.4,10.4,1.9,1.9,6721.3146,948758779.1682,141156.7284,175,151,critical_chance;phase_move+population;still_shot+population;shotgun;rich_damage
20260908-102414-136415,20260908-084925-277227,7,91.571,21,2212492,16.0,16.0,386.4,378778630.4,13.6,13.6,1.9,1.9,10483.8048,10277021800.0128,980275.9586,61,208,critical_chance;phase_move+population;still_shot+population;shotgun;rich_damage
20260908-102616-582003,20260908-084925-277227,8,92.252,21,1806303,16.0,16.0,470.4,322244455.2,13.6,13.6,1.9,1.9,12762.8928,8743136558.4864,685043.4847,130,300,critical_chance;phase_move+population;still_shot+population;shotgun;rich_damage
20260908-103855-668846,20260908-103712-300686,1,103.39,1,867,10.0,10.0,10.0,11704.5,8.0,8.0,1.0,1.0,80.0,93636.0,1170.45,14,71,
20260908-104110-610189,20260908-103712-300686,2,112.236,1,472,12.0,12.0,11.04,5210.88,10.0,10.0,1.0,1.0,110.4,52108.8,472.0,22,87,overclock
20260908-104346-574786,20260908-103712-300686,3,99.151,1,3062,12.0,12.0,11.04,33804.48,15.08,21.84,1.0,1.0,166.4832,738289.8432,4434.6207,14,90,overclock;armor+fire_rate;fire_rate;high_population
20260908-104613-145679,20260908-103712-300686,4,102.695,3,3094,13.0,13.0,35.88,51081.94,15.08,16.64,1.0,1.0,541.0704,850003.4816,1570.9665,11,110,overclock;armor+fire_rate;fire_rate;high_population;saving
20260908-104842-855950,20260908-104657-498774,1,105.375,1,583,10.0,10.0,10.0,5830.0,8.0,8.0,1.0,1.0,80.0,46640.0,583.0,9,73,
20260908-105036-538482,20260908-104657-498774,2,98.473,1,2821,10.0,10.0,9.2,25953.2,10.8,10.8,1.0,1.0,109.296,308324.016,2821.0,17,79,critical_focus;growth_boss+fire_rate;overclock;special_profit
20260908-105502-036406,20260908-105317-169092,1,104.882,1,727,10.0,10.0,10.0,7270.0,8.0,8.0,1.0,1.0,80.0,58160.0,727.0,14,72,
20260908-110024-615184,20260908-105838-879384,1,105.754,1,826,10.0,10.0,10.0,8260.0,8.0,8.0,1.0,1.0,80.0,66080.0,826.0,14,74,
20260908-110250-325578,20260908-105838-879384,2,105.229,13,845,11.0,11.0,143.0,9295.0,8.0,8.8,1.0,1.0,1144.0,81796.0,71.5,27,82,still_shot;recruit;growth_population+population;kill_shot;growth_boss+damage
20260908-110632-351395,20260908-105838-879384,3,102.719,12,1836,12.0,12.0,144.0,22032.0,8.24,8.528,1.5,1.5,1779.84,281833.344,158.3476,31,96,growth_population+population;growth_boss+damage;triple_shot;growth_fire;population_fire+damage
20260908-111126-253896,20260908-110944-383891,1,101.885,1,1002,10.0,10.0,10.0,13527.0,8.0,8.0,1.0,1.0,80.0,108216.0,1352.7,14,72,
20260908-111341-683102,20260908-110944-383891,2,111.667,1,547,10.0,10.0,10.0,5470.0,8.0,8.0,1.0,1.0,84.0,45948.0,547.0,15,81,vampire;saving;critical_chance;phase_move;fast_bullet
20260908-111559-918876,20260908-110944-383891,3,96.022,1,8941,10.0,10.0,10.0,89410.0,8.0,12.7652,1.3,1.3,104.0,1483737.4916,14266.7067,32,89,saving;phase_move;composure;ramp_fire;double_shot
20260908-111826-109043,20260908-110944-383891,4,95.628,5,58186,13.0,13.0,68.25,832059.8,8.8,8.8,1.3,1.3,780.78,9518764.112,12191.3524,29,109,saving;composure;double_shot;execute+fire_rate;rich_damage+damage
20260908-112101-594016,20260908-110944-383891,5,96.597,5,668170,513.0,513.0,2821.5,531295375.5,0.96,0.96,1.0,1.0,2708.64,510043560.48,188302.4545,43,85,composure;rich_damage+damage;pierce_plus+fire_rate;heavy_ca
20260908-112247-685910,20260908-110944-383891,6,91.239,5,1135468,513.0,513.0,2565.0,1514487218.4,1.44,7.44,1.3,1.3,4801.68,14648120376.3648,3050624.0267,22,126,composure;rich_damage+damage;pierce_plus+fire_rate;heavy_ca;double_shot
20260908-112442-134738,20260908-110944-383891,7,93.809,5,170592,513.0,513.0,2693.25,319424990.4,0.24,0.96,1.9,1.9,1228.122,582631182.4896,474408.2286,38,56,composure;rich_damage+damage;heavy_ca;shotgun;kill_shot
20260908-113417-928792,20260908-113232-508134,1,105.439,1,674,10.0,10.0,10.0,6740.0,8.0,8.0,1.0,1.0,80.0,53920.0,674.0,14,73,
20260908-113624-291517,20260908-113232-508134,2,98.167,12,1278,13.0,13.0,156.0,16614.0,8.0,13.2,1.0,1.0,1248.0,219304.8,175.725,31,82,recruit;high_population+damage;warning+population;damage
20260908-113854-515158,20260908-113232-508134,3,104.202,3,3967,15.0,15.0,45.0,59505.0,9.6,13.2,1.0,1.0,475.2,864012.6,1818.2083,30,98,high_population+damage;boss_bounty;ramp_fire+damage;fire_rate+fire_rate;critical_focus
20260908-114057-583291,20260908-113232-508134,4,99.669,3,3372,16.0,16.0,48.0,72835.2,10.4,12.8,1.0,1.0,549.12,1025519.616,1867.5692,12,120,boss_bounty;ramp_fire+damage;fire_rate+fire_rate;critical_focus;resonance+fire_rate
20260908-133116-917148,20260908-132933-581834,1,103.35,1,1121,10.0,10.0,10.0,11210.0,8.0,8.0,1.0,1.0,80.0,89680.0,1121.0,14,75,
20260908-133337-878342,20260908-132933-581834,2,99.038,6,3097,10.0,10.0,60.0,30970.0,8.0,9.2,1.3,1.3,624.0,370401.2,593.5917,29,79,boss_bounty;double_shot+population;saving;high_population;medicine
20260908-133617-784735,20260908-132933-581834,3,115.082,6,1253,11.0,11.0,66.0,13783.0,8.0,10.4,1.3,1.3,686.4,186346.16,271.4833,57,100,boss_bounty;double_shot+population;saving;medicine;ramp_fire
20260908-134045-799375,20260908-133903-053111,1,102.765,1,1018,10.0,10.0,10.0,13743.0,8.0,8.0,1.0,1.0,80.0,109944.0,1374.3,14,72,
20260908-134304-667663,20260908-133903-053111,2,102.783,3,1561,10.0,10.0,60.0,15610.0,8.0,8.0,1.3,1.3,624.0,162344.0,260.1667,18,88,splash;boss_bounty;low_population;medicine;double_shot
20260908-134737-920294,20260908-134557-546696,1,100.39,1,986,10.0,10.0,10.0,9860.0,8.0,12.0,1.0,1.0,80.0,118320.0,1479.0,14,71,
20260908-134941-301879,20260908-134557-546696,2,95.265,3,5018,12.0,12.0,36.0,60216.0,8.8,8.8,1.0,1.0,316.8,529900.8,1672.6667,21,77,move_speed;runner+fire_rate;saving;boss_damage;damage
20260908-135209-577368,20260908-134557-546696,3,99.77,5,3843,12.0,12.0,60.0,62256.6,8.8,8.8,1.5,1.5,792.0,821787.12,1037.61,35,95,move_speed;runner+fire_rate;saving;boss_damage;triple_shot
20260908-135437-606708,20260908-134557-546696,4,99.69,5,4724,12.0,12.0,60.0,76528.8,10.56,11.4624,1.5,1.5,950.4,1315805.5757,1384.4756,71,110,move_speed;runner+fire_rate;saving;triple_shot;population_fire
20260908-135755-822065,20260908-134557-546696,5,97.961,5,14440,13.0,13.0,65.0,187720.0,9.6,12.3648,1.5,1.5,1170.0,4352100.48,3719.744,143,128,saving;triple_shot;population_fire;gate_master;critical_focus+damage
20260908-140044-541950,20260908-134557-546696,6,107.487,7,7953,14.0,14.0,98.0,111342.0,10.4,12.0536,1.5,1.5,1911.0,2516384.871,1316.7896,111,173,triple_shot;population_fire;gate_master;critical_focus+damage;recruit_gate_bias
20260908-140308-850814,20260908-134557-546696,7,95.941,7,121263,13.0,13.0,131.95,20020521.3,12.0,24.0,1.5,1.5,2375.1,720738766.8,303456.1773,149,208,triple_shot;population_fire;recruit_gate_bias;rich_damage;composure
20260908-140507-753262,20260908-134557-546696,8,96.869,7,212870,13.0,13.0,172.9,5811351.0,12.0,12.0,1.5,1.5,3112.2,104604318.0,33611.0526,229,306,triple_shot;recruit_gate_bias;rich_damage;composure;pierce_2
20260908-142404-925352,20260908-142220-595915,1,104.348,1,975,10.0,10.0,10.0,9750.0,8.0,8.0,1.0,1.0,80.0,78000.0,975.0,14,74,
20260908-143340-341356,20260908-143153-966116,1,106.328,1,572,10.0,10.0,10.0,5720.0,8.0,8.0,1.0,1.0,80.0,45760.0,572.0,14,72,
20260908-143550-454965,20260908-143153-966116,2,105.823,3,872,11.0,11.0,33.0,9592.0,9.68,9.68,1.0,1.0,319.44,92850.56,290.6667,27,84,vampire+fire_rate
20260908-143806-469573,20260908-143153-966116,3,93.661,3,19029,26.0,26.0,80.34,509596.62,10.824,15.224,1.0,1.0,869.6002,7758098.9429,8921.4553,37,90,vampire+fire_rate;gate_damage;growth_arsenal;saving+fire_rate;damage_plus
20260908-144006-580336,20260908-143153-966116,4,93.265,3,29180,26.0,26.0,82.68,804200.8,10.208,14.608,1.5,1.5,1265.9962,17621647.9296,13919.1954,79,104,gate_damage;growth_arsenal;saving+fire_rate;damage_plus;triple_shot
20260908-144159-547274,20260908-143153-966116,5,93.605,3,417355,511.0,511.0,1670.97,232462561.45,1.848,6.248,1.5,1.5,4631.9288,2178639125.9094,470352.4603,175,123,gate_damage;growth_arsenal;saving+fire_rate;triple_shot;heavy_ca
20260908-144413-522984,20260908-143153-966116,6,91.479,3,104660,26.0,26.0,157.56,6721265.2,9.856,9.856,1.5,1.5,2911.7088,124208980.896,42658.4488,275,159,growth_arsenal;triple_shot;rich_damage;damage_plus;critical_focus
20260908-144654-437957,20260908-143153-966116,7,93.247,3,35404677,511.0,511.0,3525.9,51561601348.95,3.496,3.496,1.5,1.5,18489.8196,270389037473.8939,14623670.9348,346,207,growth_arsenal;triple_shot;rich_damage;match_tr;heavy_ca
